0	0
0.1	0.009983342
0.2	0.039733866
0.3	0.088656062
0.4	0.155767337
0.5	0.239712769
0.6	0.338785484
0.7	0.450952381
0.8	0.573884873
0.9	0.704994219
1	0.841470985
1.1	0.980328096
1.2	1.118446903
1.3	1.252625641
1.4	1.379629622
1.5	1.49624248
1.6	1.599317765
1.7	1.685830178
1.8	1.752925736
1.9	1.797970167
2	1.818594854
2.1	1.81273967
2.2	1.778692088
2.3	1.715121988
2.4	1.621111633
2.5	1.49618036
2.6	1.340303567
2.7	1.153925677
2.8	0.93796682
2.9	0.693823055
3	0.423360024
3.1	0.128900054
3.2	-0.186797259
3.3	-0.520560791
3.4	-0.868839747
3.5	-1.227741297
3.6	-1.593073596
3.7	-1.960393721
3.8	-2.325059986
3.9	-2.682288021
4	-3.027209981
4.1	-3.354936155
4.2	-3.660618244
4.3	-3.939513528
4.4	-4.187049125
4.5	-4.398885529
4.6	-4.570978617
4.7	-4.699639311
4.8	-4.781590122
4.9	-4.814017802
5	-4.794621373
5.1	-4.72165488
5.2	-4.59396421
5.3	-4.411017444
5.4	-4.172928233
5.5	-3.880471791
5.6	-3.535093172
5.7	-3.138907593
5.8	-2.694692641
5.9	-2.205872322
6	-1.676492989
6.1	-1.111191276
6.2	-0.515154297
6.3	0.105927573
6.4	0.745914911
6.5	1.398279923
6.6	2.056172999
6.7	2.712494468
6.8	3.359970788
6.9	3.991234374
7	4.598906191
7.1	5.175680185
7.2	5.71440862
7.3	6.208187331
7.4	6.650439909
7.5	7.034999826
7.6	7.356189507
7.7	7.608895401
7.8	7.788638094
7.9	7.891636601
8	7.914865973
8.1	7.856107468
8.2	7.713990565
8.3	7.48802622
8.4	7.178630828
8.5	6.787140457
8.6	6.315815042
8.7	5.767832302
8.8	5.147271297
8.9	4.459085622
9	3.709066367
9.1	2.903795097
9.2	2.05058721
9.3	1.157426139
9.4	0.232888999
9.5	-0.713935644
9.6	-1.6735371
9.7	-2.636078076
9.8	-3.591495467
9.9	-4.529605348
